movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt2066051,Rocketman,Dexter Fletcher,Taron Egerton Jamie Bell Richard Madden Bryce Dallas Howard,Biography/ Drama/ Music,121,15,A musical fantasy about the fantastical human story of Elton John's breakthrough years.,0.7318,0,3,3,smoking and drinking
tt0120689,The Green Mile,Frank Darabont,Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt,Crime/ Drama/ Fantasy,189,18,The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape/ yet who has a mysterious gift.,0.8292,3,0,4,smoking and drinking
tt0829482,Superbad,Greg Mottola,Michael Cera Jonah Hill Christopher Mintz-Plasse Bill Hader,Comedy,113,18,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,0.7725,3,3,2,smoking and drinking
tt7556122,The Old Guard,Gina Prince-Bythewood,Charlize Theron KiKi Layne Matthias Schoenaerts Marwan Kenzari,Action/ Adventure/ Fantasy,125,18,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,0.809,3,3,3,no alcohol or smoking
tt5027774,Three Billboards Outside Ebbing Missouri,Martin McDonagh,Frances McDormand Woody Harrelson Sam Rockwell Caleb Landry Jones,Comedy/ Crime/ Drama,115,15,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,0.8158,3,1,5,smoking and drinking
tt9893250,I Care a Lot,J Blakeson,Rosamund Pike Peter Dinklage Eiza González Dianne Wiest,Comedy/ Crime/ Thriller,118,R,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,0.5427,0,0,0,no alcohol or smoking
tt0103064,Terminator 2: Judgment Day,James Cameron,Arnold Schwarzenegger Linda Hamilton Edward Furlong Robert Patrick,Action/ Sci-Fi,137,15,A cyborg/ identical to the one who failed to kill Sarah Connor/ must now protect her teenage son/ John Connor/ from a more advanced and powerful cyborg.,0.8448,1,3,6,smoking
tt1431045,Deadpool,Tim Miller,Ryan Reynolds Morena Baccarin T.J. Miller Ed Skrein,Action/ Adventure/ Comedy,108,18,A wisecracking mercenary gets experimented on and becomes immortal but ugly/ and sets out to track down the man who ruined his looks.,0.8317,3,3,7,smoking and drinking
tt5727208,Uncut Gems,Benny Safdie Josh Safdie,Adam Sandler Julia Fox Idina Menzel Mesfin Lamengo,Crime/ Drama/ Thriller,135,18,With his debts mounting and angry collectors closing in/ a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.,0.8173,3,3,5,smoking and drinking
tt0163651,American Pie,Paul Weitz Chris Weitz,Jason Biggs Chris Klein Thomas Ian Nicholas Jennifer Coolidge,Comedy,95,18,Four teenage boys enter a pact to lose their virginity by prom night.,0.7624,0,1,1,drinking
tt0078788,Apocalypse Now,Francis Ford Coppola,Martin Sheen Marlon Brando Robert Duvall Frederic Forrest,Drama/ Mystery/ War,147,(Banned),A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,0.8185,3,3,1,smoking and drinking
tt0246578,Donnie Darko,Richard Kelly,Jake Gyllenhaal Jena Malone Mary McDonnell Holmes Osborne,Drama/ Mystery/ Sci-Fi,113,15,After narrowly escaping a bizarre accident/ a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.,0.779,3,3,2,smoking and drinking
tt10059518,Unhinged,Derrick Borte,Russell Crowe Caren Pistorius Gabriel Bateman Jimmi Simpson,Action/ Thriller,90,18,After a confrontation with an unstable man at an intersection/ a woman becomes the target of his rage.,0.7994,3,3,0,no alcohol or smoking
tt1517451,A Star Is Born,Bradley Cooper,Lady Gaga Bradley Cooper Sam Elliott Greg Grunberg,Drama/ Music/ Romance,136,15,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,0.7575,0,3,5,drinking
tt9738716,The World to Come,Mona Fastvold,Katherine Waterston Vanessa Kirby Christopher Abbott Casey Affleck,Drama,98,R,Somewhere along the mid-19th century American East Coast frontier/ two neighboring couples battle hardship and isolation/ witnessed by a splendid yet testing landscape/ challenging them both physically and psychologically.,0.5427,0,0,0,no alcohol or smoking
tt0078748,Alien,Ridley Scott,Sigourney Weaver Tom Skerritt John Hurt Veronica Cartwright,Horror/ Sci-Fi,117,18,After a space merchant vessel receives an unknown transmission as a distress call/ one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.,0.8131,3,3,6,smoking and drinking
